name,value,year,lastValue,rank,dist,diff
genesis_97,1,4.0,1,100,0.84,0
genesis_99,1,4.0,1,101,0.84,0
genesis_1,1,5.0,1,1,0.8,0
genesis_10,1,5.0,1,2,0.8,0
genesis_100,1,5.0,1,3,0.8,0
genesis_101,1,5.0,1,4,0.8,0
genesis_11,1,5.0,1,5,0.8,0
genesis_12,1,5.0,1,6,0.8,0
genesis_13,1,5.0,1,7,0.8,0
genesis_14,1,5.0,1,8,0.8,0
genesis_15,1,5.0,1,9,0.8,0
genesis_16,1,5.0,1,10,0.8,0
genesis_17,1,5.0,1,11,0.8,0
genesis_18,1,5.0,1,12,0.8,0
genesis_19,1,5.0,1,13,0.8,0
genesis_19,1,5.0,1,14,0.8,0
genesis_2,1,5.0,1,15,0.8,0
genesis_20,1,5.0,1,16,0.8,0
genesis_22,1,5.0,1,17,0.8,0
genesis_23,1,5.0,1,18,0.8,0
genesis_24,1,5.0,1,19,0.8,0
genesis_25,1,5.0,1,20,0.8,0
genesis_26,1,5.0,1,21,0.8,0
genesis_27,1,5.0,1,22,0.8,0
genesis_28,1,5.0,1,23,0.8,0
genesis_29,1,5.0,1,24,0.8,0
genesis_3,1,5.0,1,25,0.8,0
genesis_30,1,5.0,1,26,0.8,0
genesis_31,1,5.0,1,27,0.8,0
genesis_32,1,5.0,1,28,0.8,0
genesis_34,1,5.0,1,29,0.8,0
genesis_35,1,5.0,1,30,0.8,0
genesis_36,1,5.0,1,31,0.8,0
genesis_37,1,5.0,1,32,0.8,0
genesis_38,1,5.0,1,33,0.8,0
genesis_39,1,5.0,1,34,0.8,0
genesis_4,1,5.0,1,35,0.8,0
genesis_40,1,5.0,1,36,0.8,0
genesis_41,1,5.0,1,37,0.8,0
genesis_42,1,5.0,1,38,0.8,0
genesis_43,1,5.0,1,39,0.8,0
genesis_44,1,5.0,1,40,0.8,0
genesis_45,1,5.0,1,41,0.8,0
genesis_46,1,5.0,1,42,0.8,0
genesis_47,1,5.0,1,43,0.8,0
genesis_48,1,5.0,1,44,0.8,0
genesis_49,1,5.0,1,45,0.8,0
genesis_5,1,5.0,1,46,0.8,0
genesis_50,1,5.0,1,47,0.8,0
genesis_51,1,5.0,1,48,0.8,0
genesis_52,1,5.0,1,49,0.8,0
genesis_53,1,5.0,1,50,0.8,0
genesis_53,1,5.0,1,51,0.8,0
genesis_54,1,5.0,1,52,0.8,0
genesis_55,1,5.0,1,53,0.8,0
genesis_56,1,5.0,1,54,0.8,0
genesis_57,1,5.0,1,55,0.8,0
genesis_58,1,5.0,1,56,0.8,0
genesis_59,1,5.0,1,57,0.8,0
genesis_6,1,5.0,1,58,0.8,0
genesis_60,1,5.0,1,59,0.8,0
genesis_61,1,5.0,1,60,0.8,0
genesis_62,1,5.0,1,61,0.8,0
genesis_63,1,5.0,1,62,0.8,0
genesis_64,1,5.0,1,63,0.8,0
genesis_65,1,5.0,1,64,0.8,0
genesis_66,1,5.0,1,65,0.8,0
genesis_66,1,5.0,1,66,0.8,0
genesis_67,1,5.0,1,67,0.8,0
genesis_68,1,5.0,1,68,0.8,0
genesis_68,1,5.0,1,69,0.8,0
genesis_69,1,5.0,1,70,0.8,0
genesis_7,1,5.0,1,71,0.8,0
genesis_70,1,5.0,1,72,0.8,0
genesis_71,1,5.0,1,73,0.8,0
genesis_72,1,5.0,1,74,0.8,0
genesis_74,1,5.0,1,75,0.8,0
genesis_75,1,5.0,1,76,0.8,0
genesis_76,1,5.0,1,77,0.8,0
genesis_77,1,5.0,1,78,0.8,0
genesis_78,1,5.0,1,79,0.8,0
genesis_79,1,5.0,1,80,0.8,0
genesis_8,1,5.0,1,81,0.8,0
genesis_80,1,5.0,1,82,0.8,0
genesis_81,1,5.0,1,83,0.8,0
genesis_82,1,5.0,1,84,0.8,0
genesis_84,1,5.0,1,85,0.8,0
genesis_85,1,5.0,1,86,0.8,0
genesis_86,1,5.0,1,87,0.8,0
genesis_86,1,5.0,1,88,0.8,0
genesis_87,1,5.0,1,89,0.8,0
genesis_88,1,5.0,1,90,0.8,0
genesis_89,1,5.0,1,91,0.8,0
genesis_9,1,5.0,1,92,0.8,0
genesis_90,1,5.0,1,93,0.8,0
genesis_92,1,5.0,1,94,0.8,0
genesis_93,1,5.0,1,95,0.8,0
genesis_94,1,5.0,1,96,0.8,0
genesis_95,1,5.0,1,97,0.8,0
genesis_96,1,5.0,1,98,0.8,0
genesis_97,1,5.0,1,99,0.8,0
genesis_98,1,5.0,1,100,0.8,0
genesis_99,1,5.0,1,101,0.8,0
genesis_1,1,6.0,1,1,0.8,0
genesis_10,1,6.0,1,2,0.8,0
genesis_100,1,6.0,1,3,0.8,0
genesis_101,1,6.0,1,4,0.8,0
genesis_11,1,6.0,1,5,0.8,0
genesis_12,1,6.0,1,6,0.8,0
genesis_13,1,6.0,1,7,0.8,0
genesis_14,1,6.0,1,8,0.8,0
genesis_15,1,6.0,1,9,0.8,0
genesis_16,1,6.0,1,10,0.8,0
genesis_17,1,6.0,1,11,0.8,0
genesis_18,1,6.0,1,12,0.8,0
genesis_19,1,6.0,1,13,0.8,0
genesis_2,1,6.0,1,14,0.8,0
genesis_21,1,6.0,1,15,0.8,0
genesis_23,1,6.0,1,16,0.8,0
genesis_24,1,6.0,1,17,0.8,0
genesis_25,1,6.0,1,18,0.8,0
genesis_26,1,6.0,1,19,0.8,0
genesis_27,1,6.0,1,20,0.8,0
genesis_28,1,6.0,1,21,0.8,0
genesis_29,1,6.0,1,22,0.8,0
genesis_3,1,6.0,1,23,0.8,0
genesis_30,1,6.0,1,24,0.8,0
genesis_31,1,6.0,1,25,0.8,0
genesis_32,1,6.0,1,26,0.8,0
genesis_33,1,6.0,1,27,0.8,0
genesis_34,1,6.0,1,28,0.8,0
genesis_35,1,6.0,1,29,0.8,0
genesis_36,1,6.0,1,30,0.8,0
genesis_38,1,6.0,1,31,0.8,0
genesis_39,1,6.0,1,32,0.8,0
genesis_4,1,6.0,1,33,0.8,0
genesis_40,1,6.0,1,34,0.8,0
genesis_41,1,6.0,1,35,0.8,0
genesis_42,1,6.0,1,36,0.8,0
genesis_43,1,6.0,1,37,0.8,0
genesis_44,1,6.0,1,38,0.8,0
genesis_45,1,6.0,1,39,0.8,0
genesis_46,1,6.0,1,40,0.8,0
genesis_47,1,6.0,1,41,0.8,0
genesis_48,1,6.0,1,42,0.8,0
genesis_49,1,6.0,1,43,0.8,0
genesis_5,1,6.0,1,44,0.8,0
genesis_50,1,6.0,1,45,0.8,0
genesis_51,1,6.0,1,46,0.8,0
genesis_52,1,6.0,1,47,0.8,0
genesis_52,1,6.0,1,48,0.8,0
genesis_53,1,6.0,1,49,0.8,0
genesis_53,1,6.0,1,50,0.8,0
genesis_54,1,6.0,1,51,0.8,0
genesis_54,1,6.0,1,52,0.8,0
genesis_55,1,6.0,1,53,0.8,0
genesis_56,1,6.0,1,54,0.8,0
genesis_57,1,6.0,1,55,0.8,0
genesis_58,1,6.0,1,56,0.8,0
genesis_59,1,6.0,1,57,0.8,0
genesis_6,1,6.0,1,58,0.8,0
genesis_60,1,6.0,1,59,0.8,0
genesis_61,1,6.0,1,60,0.8,0
genesis_62,1,6.0,1,61,0.8,0
genesis_63,1,6.0,1,62,0.8,0
genesis_63,1,6.0,1,63,0.8,0
genesis_64,1,6.0,1,64,0.8,0
genesis_65,1,6.0,1,65,0.8,0
genesis_66,1,6.0,1,66,0.8,0
genesis_68,1,6.0,1,67,0.8,0
genesis_69,1,6.0,1,68,0.8,0
genesis_7,1,6.0,1,69,0.8,0
genesis_70,1,6.0,1,70,0.8,0
genesis_71,1,6.0,1,71,0.8,0
genesis_72,1,6.0,1,72,0.8,0
genesis_73,1,6.0,1,73,0.8,0
genesis_74,1,6.0,1,74,0.8,0
genesis_75,1,6.0,1,75,0.8,0
genesis_76,1,6.0,1,76,0.8,0
genesis_77,1,6.0,1,77,0.8,0
genesis_78,1,6.0,1,78,0.8,0
genesis_79,1,6.0,1,79,0.8,0
genesis_8,1,6.0,1,80,0.8,0
genesis_80,1,6.0,1,81,0.8,0
genesis_82,1,6.0,1,82,0.8,0
genesis_83,1,6.0,1,83,0.8,0
genesis_84,1,6.0,1,84,0.8,0
genesis_85,1,6.0,1,85,0.8,0
genesis_85,1,6.0,1,86,0.8,0
genesis_86,1,6.0,1,87,0.8,0
genesis_87,1,6.0,1,88,0.8,0
genesis_88,1,6.0,1,89,0.8,0
genesis_9,1,6.0,1,90,0.8,0
genesis_90,1,6.0,1,91,0.8,0
genesis_91,1,6.0,1,92,0.8,0
genesis_92,1,6.0,1,93,0.8,0
genesis_93,1,6.0,1,94,0.8,0
genesis_94,1,6.0,1,95,0.8,0
genesis_94,1,6.0,1,96,0.8,0
genesis_95,1,6.0,1,97,0.8,0
genesis_96,1,6.0,1,98,0.8,0
genesis_97,1,6.0,1,99,0.8,0
genesis_98,1,6.0,1,100,0.8,0
genesis_99,1,6.0,1,101,0.8,0
genesis_1,1,7.0,1,1,0.82,0
genesis_10,1,7.0,1,2,0.82,0
genesis_100,1,7.0,1,3,0.82,0
genesis_101,1,7.0,1,4,0.82,0
genesis_11,1,7.0,1,5,0.82,0
genesis_12,1,7.0,1,6,0.82,0
genesis_13,1,7.0,1,7,0.82,0
genesis_14,1,7.0,1,8,0.82,0
genesis_15,1,7.0,1,9,0.82,0
genesis_16,1,7.0,1,10,0.82,0
genesis_17,1,7.0,1,11,0.82,0
genesis_18,1,7.0,1,12,0.82,0
genesis_19,1,7.0,1,13,0.82,0
genesis_2,1,7.0,1,14,0.82,0
genesis_20,1,7.0,1,15,0.82,0
genesis_21,1,7.0,1,16,0.82,0
genesis_23,1,7.0,1,17,0.82,0
genesis_24,1,7.0,1,18,0.82,0
genesis_25,1,7.0,1,19,0.82,0
genesis_26,1,7.0,1,20,0.82,0
genesis_27,1,7.0,1,21,0.82,0
genesis_28,1,7.0,1,22,0.82,0
genesis_29,1,7.0,1,23,0.82,0
genesis_3,1,7.0,1,24,0.82,0
genesis_30,1,7.0,1,25,0.82,0
genesis_31,1,7.0,1,26,0.82,0
