name,value,timeunit,lastValue,rank,dist,diff
jiraffes,1,3.0,1,31,0.85,1
kiashaan,1,3.0,1,32,0.85,1
kolap,1,3.0,1,33,0.85,1
mr.arklife,1,3.0,1,34,0.85,1
natalie,1,3.0,1,35,0.85,1
nikitab12,1,3.0,1,36,0.85,1
ondin,1,3.0,1,37,0.85,1
rasputin,1,3.0,1,38,0.85,1
realnoah,1,3.0,1,39,0.85,1
samuray,1,3.0,1,40,0.85,1
seatrips,1,3.0,1,41,0.85,1
smartthings,1,3.0,1,42,0.85,1
soliury,1,3.0,1,43,0.85,1
someonesomeone,1,3.0,1,44,0.85,1
therock,1,3.0,1,45,0.85,1
tibonos,1,3.0,1,46,0.85,1
tintumon,1,3.0,1,47,0.85,1
toad,1,3.0,1,48,0.85,1
vega,1,3.0,1,49,0.85,1
wes,1,3.0,1,50,0.85,1
xujian,1,3.0,1,51,0.85,1
ararat,1,4.0,1,1,0.82,1
arc,1,4.0,1,2,0.82,1
ares,1,4.0,1,3,0.82,1
arkimedes,1,4.0,1,4,0.82,1
arknet,1,4.0,1,5,0.82,1
arkpool,1,4.0,1,6,0.82,1
arktipbot,1,4.0,1,7,0.82,1
arky,1,4.0,1,8,0.82,1
atreides_wannabe,1,4.0,1,9,0.82,1
axi,1,4.0,1,10,0.82,1
bangomatic,1,4.0,1,11,0.82,1
bioly,1,4.0,1,12,0.82,1
cannabanana,1,4.0,1,13,0.82,1
chiiky_2,1,4.0,1,14,0.82,1
corsaro,1,4.0,1,15,0.82,1
cryptolanka123,1,4.0,1,16,0.82,1
dafty,1,4.0,1,17,0.82,1
digitron,1,4.0,1,18,0.82,1
diplo,1,4.0,1,19,0.82,1
doc,1,4.0,1,20,0.82,1
doom,1,4.0,1,21,0.82,1
emotive_ark,1,4.0,1,22,0.82,1
forginator,1,4.0,1,23,0.82,1
ghostfaceuk,1,4.0,1,24,0.82,1
gr33ndrag0n,1,4.0,1,25,0.82,1
hagie,1,4.0,1,26,0.82,1
heliohash,1,4.0,1,27,0.82,1
jamiec79,1,4.0,1,28,0.82,1
jimbob,1,4.0,1,29,0.82,1
jiraffes,1,4.0,1,30,0.82,1
kiashaan,1,4.0,1,31,0.82,1
kolap,1,4.0,1,32,0.82,1
mody1996,1,4.0,1,33,0.82,1
mr.arklife,1,4.0,1,34,0.82,1
natalie,1,4.0,1,35,0.82,1
nikitab12,1,4.0,1,36,0.82,1
ondin,1,4.0,1,37,0.82,1
pitbull,1,4.0,1,38,0.82,1
rasputin,1,4.0,1,39,0.82,1
