name,value,timeunit,lastValue,rank,dist,diff
sonobit,0,3,0,10,0,0
rasputin,0,3,0,11,0,0
monsterbit,0,3,0,12,0,0
elegato,0,3,0,13,0,0
corsaro,0,3,0,14,0,0
geops,0,3,0,15,0,0
goldeneye,0,3,0,16,0,0
vipertkd,0,3,0,17,0,0
atreides_wannabe,0,3,0,18,0,0
bioly,0,3,0,19,0,0
thricepi,0,3,0,20,0,0
4miners.net,0,3,0,21,0,0
arc,0,3,0,22,0,0
isabella,0,3,0,23,0,0
hoop,0,3,0,24,0,0
arkfuturesmartnode,0,3,0,25,0,0
mainarknet,0,3,0,26,0,0
cannabanana,0,3,0,27,0,0
triumvirate,0,3,0,28,0,0
dafty,0,3,0,29,0,0
hagie,0,3,0,30,0,0
noah,0,3,0,31,0,0
arkpool,0,3,0,32,0,0
doom,0,3,0,33,0,0
vega,0,3,0,34,0,0
bluedude,0,3,0,35,0,0
bangomatic,0,3,0,36,0,0
xujian,0,3,0,37,0,0
arktipbot,0,3,0,38,0,0
doweig,0,3,0,39,0,0
sidzero,0,3,0,40,0,0
dafricash,0,3,0,41,0,0
pitbull,0,3,0,42,0,0
emotive_ark,0,3,0,43,0,0
diplo,0,3,0,44,0,0
seatrips,0,3,0,45,0,0
kiashaan,0,3,0,46,0,0
dandelion,0,3,0,47,0,0
arkimedes,0,3,0,48,0,0
arky,0,3,0,49,0,0
soliury,0,3,0,50,0,0
emotive_ark,0,4,0,0,0,0
toad,0,4,0,1,0,0
bcboilermaker,0,4,0,2,0,0
atreides_wannabe,0,4,0,3,0,0
isabella,0,4,0,4,0,0
ares,0,4,0,5,0,0
hoop,0,4,0,6,0,0
monsterbit,0,4,0,7,0,0
dandelion,0,4,0,8,0,0
corsaro,0,4,0,9,0,0
lidware01,0,4,0,10,0,0
vipertkd,0,4,0,11,0,0
litcoincollector,0,4,0,12,0,0
templar,0,4,0,13,0,0
localhost,0,4,0,14,0,0
jamiec79,0,4,0,15,0,0
